name,number_of_reviews,review_scores_value,cancellation_policy,host_id,host_name,host_for_x_days,host_response_time,host_response_rate,host_is_superhost,property_type,room_type,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights
Drop Dead Gorgeous Spacious Studio,4,9,3,4195134,LifestyleFurnishedApartments,3223,within a day,70,0,Apartment,Entire home/apt,130,1500,150,5,1125
"Very spacious Back Bay, 1 block T",26,8,3,21184200,Paige,2563,within an hour,99,0,Apartment,Entire home/apt,155,150,55,1,1125
Stylish Studio in Historic Back Bay,4,10,1,6742925,Danielle,3026,within a few hours,90,0,Apartment,Entire home/apt,200,275,50,1,2
Stylish Studio in heart of Back Bay,75,10,2,7178644,Julie,3001,within a few hours,100,0,Apartment,Entire home/apt,174,325,20,1,8
Posh Studio on Bustling Newbury St,21,10,3,12243051,Flatbook,2771,within a few hours,71,0,Apartment,Entire home/apt,199,300,75,3,1125
Sparkling New 2BR / 2BA in Back Bay,83,9,3,9410008,Jason,2895,within an hour,100,0,Apartment,Entire home/apt,425,500,125,3,60
Stylish Studio in Elegant Back Bay,17,9,3,12243051,Flatbook,2771,within a few hours,71,0,Apartment,Entire home/apt,199,400,75,3,1125
3BR / 2BA + Prvt Deck in Back Bay,95,9,3,9410008,Jason,2895,within an hour,100,0,Apartment,Entire home/apt,695,600,150,3,60
Adorable 1Bd Apt in Busy Back Bay,7,9,3,58356283,Sophia,2044,within a few hours,90,0,Apartment,Entire home/apt,225,95,25,1,18
IDEAL LOCATION - 1BR/1BA NEWBURY ST,20,9,2,3713069,Lea,3273,within a few hours,92,0,Apartment,Private room,105,100,50,1,1125
Ahh the Views! 1 Bed with Balcony,5,9,3,4195134,LifestyleFurnishedApartments,3223,within a day,70,0,Apartment,Entire home/apt,175,1500,150,21,365
Quaint Renovated Rowhouse,85,9,2,20582119,Jeff,2578,within an hour,100,0,Apartment,Entire home/apt,180,100,60,1,1125
Back Bay 345,8,9,3,3521413,Elly,3293,within a few hours,100,0,Condominium,Entire home/apt,189,300,150,30,1125
Large 1 Bedroom on St. Botolph,12,10,2,1798561,Jonathan,3493,within a day,100,0,Apartment,Entire home/apt,165,300,85,3,21
"Large, Bright 2 Bedroom in Back Bay",25,9,2,206505,Cecile,4046,within a few hours,100,0,Apartment,Entire home/apt,375,300,35,2,3
"Back Bay, Newbury St. 1BR",31,8,3,65268598,Rob,1995,within an hour,100,0,Apartment,Entire home/apt,163,300,65,1,1125
Back Bay Gem 2,43,10,3,47618394,Liesl,2150,within an hour,100,0,Apartment,Entire home/apt,165,200,60,2,29
Stylish studio in prime Back Bay!,11,9,3,8008692,Randy,2962,within a few hours,100,0,Apartment,Entire home/apt,250,300,75,3,1125
Modern Comfort with Amazing Views,2,10,3,4195134,LifestyleFurnishedApartments,3223,within a day,70,0,Apartment,Entire home/apt,99,1500,150,90,365
Swanky Studio in Historic Back Bay,11,9,3,12243051,Flatbook,2771,within a few hours,71,0,Apartment,Entire home/apt,209,400,95,3,1125
Comfortable and Casual Copely Home,68,9,3,16779145,Elizabeth,2651,within an hour,95,0,Apartment,Entire home/apt,200,200,50,1,1125
"BACK BAY, MIT, BU, Green Line, BEST",20,9,3,21184200,Paige,2563,within an hour,99,0,Apartment,Entire home/apt,105,99,55,3,1125
Superb 1BR Back Bay Condo,7,10,3,28358624,Len,2395,within a day,90,0,Condominium,Entire home/apt,250,200,50,1,29
Stylish Back Bay Studio,9,10,2,39051883,Gretchen,2250,within a few hours,100,0,Apartment,Entire home/apt,105,500,150,4,365
Back Bay Studio - PrudentialCenter/Copley/Symphony,3,9,3,3041265,Humberto,3341,within an hour,100,0,Apartment,Entire home/apt,145,95,20,2,10
Back Bay Pied a Terre. Fabulous location!,1,10,2,16708213,Leigh Ann,2653,within a few hours,100,0,Condominium,Entire home/apt,170,350,55,2,1125
Live Local- Elegant Boston Brownstone.,4,10,3,76562235,Safia,1926,within a few hours,100,0,Apartment,Entire home/apt,329,1000,100,1,1125
Entire home w/patio -best location,7,8,3,10132799,Ezra,2858,within a day,100,0,Apartment,Entire home/apt,139,200,24,2,1125
Charming south end brownstone,13,10,2,44792241,Lisa,2187,within an hour,100,0,Apartment,Entire home/apt,196,200,90,1,1125
Back Bay-Ctr BOSTON-Lge Rm Pvt Bath,42,9,3,1984434,Irene,3466,within a few hours,100,0,House,Private room,120,500,60,5,365
Private Boston-Back Bay Top Floor w/ Private Deck,3,9,2,51745385,Dennis,2098,within an hour,100,0,Apartment,Entire home/apt,200,100,60,5,8
Beautiful Back Bay apartment 4 you!,4,10,2,45980822,Carolina,2171,within a few hours,90,0,Apartment,Entire home/apt,200,100,60,1,1125
Spacious Back Back Studio Steps from Public Garden,3,10,3,15338241,Scott,2686,within an hour,100,0,Apartment,Entire home/apt,200,200,50,2,4
Back Bay 1-Bedroom next to Newbury,20,10,2,1538079,Tom,3552,within an hour,100,0,Condominium,Entire home/apt,235,150,30,3,14
Back Bay - Newbury St 1 bedroom,23,9,3,814298,Brent,3718,within a few hours,98,0,Apartment,Entire home/apt,194,500,100,2,1125
1 BR on Newbury St,2,10,3,36275619,Sam,2280,within an hour,100,0,Apartment,Entire home/apt,230,500,30,1,1125
Large 2 BR|2 BA + Patio in Back Bay,30,10,3,9410008,Jason,2895,within an hour,100,0,Apartment,Entire home/apt,375,475,125,3,45
Classic Brownstone in Historic Area,25,10,2,54361238,Emily And Giuseppe,2074,within a few hours,100,0,Apartment,Entire home/apt,350,500,100,3,14
Amazing Newbury St 1 bedroom,7,9,3,814298,Brent,3718,within a few hours,98,0,Apartment,Entire home/apt,259,500,100,2,1125
Back Bay 1BR Apt / Heart of Boston!,103,10,3,10493424,Nicole,2840,within a few hours,100,0,Apartment,Entire home/apt,239,200,75,2,1125
Charming Studio–Heart of Back Bay!,13,9,3,12243051,Flatbook,2771,within a few hours,71,0,Apartment,Entire home/apt,139,400,95,3,1125
Boston's Best Newbury Street Flat!!,19,10,2,23676983,Brooke,2500,within a day,100,0,Apartment,Entire home/apt,225,400,65,2,1125
Beacon Street Loft - Amazing Location,3,9,1,88129265,Jason,1868,within an hour,100,0,Loft,Entire home/apt,100,100,20,1,4
Lovely Back Bay Pearl 1BR,23,10,3,54952385,Vera,2069,within an hour,100,0,Condominium,Private room,109,100,40,2,15
Brownstone in heart of Back Bay,77,9,3,42431392,Frank,2215,within an hour,100,0,Townhouse,Entire home/apt,150,500,80,1,1125
"Marlborough St, steps to Newbury St",2,9,1,62106939,Attuck,2018,within a few hours,100,0,Condominium,Entire home/apt,350,500,100,1,1125
Penthouse in Back Bay,12,10,2,65907845,Douglas,1990,within a few hours,100,0,Apartment,Entire home/apt,281,200,83,4,1125
"Back Bay PH, private roof deck",17,9,3,3137257,Furnished Rentals,3332,within a few hours,97,0,Apartment,Entire home/apt,170,500,125,7,1125
3 BD single family.  Steps to everything w/ Patio!,15,10,2,24196977,Jenny,2486,within a few hours,100,0,House,Entire home/apt,550,1000,85,3,1125
Boston Back Bay/Copley Square,12,9,3,30658962,Marlo,2356,within a few hours,100,0,Apartment,Entire home/apt,325,400,100,3,1125
Back Bay Penthouse 2 Bed with Private Terrace!,3,9,3,814298,Brent,3718,within a few hours,98,0,Apartment,Entire home/apt,150,500,125,2,1125
